;0;Labels
0;Acetic acid;['Category:Acetic acids', 'Category:Acids in wine', 'Category:Antiseptics', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with changed KEGG identifier', 'Category:Articles with short description', 'Category:Articles without InChI source', 'Category:CS1 maint: Untitled periodical', 'Category:Chembox having GHS data', 'Category:Chembox image size set', 'Category:Chemical articles having a data page', 'Category:Commodity chemicals', 'Category:E number from Wikidata', 'Category:E-number additives', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Featured articles', 'Category:Flavors', 'Category:Household chemicals', 'Category:Otologicals', 'Category:Photographic chemicals', 'Category:Solvents', 'Category:Use British English Oxford spelling from September 2016', 'Category:Use dmy dates from August 2014', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia indefinitely move-protected pages', 'Category:World Health Organization essential medicines']
1;Alcohol laws of New Jersey;['Category:Alcohol law in the United States by state', 'Category:All Wikipedia articles written in American English', 'Category:All articles containing potentially dated statements', 'Category:Articles containing potentially dated statements from 2013', 'Category:Articles containing potentially dated statements from 2014', 'Category:Articles containing potentially dated statements from 2019', 'Category:Beer in New Jersey', 'Category:CS1: Julian–Gregorian uncertainty', 'Category:Featured articles', 'Category:Food and drink in New Jersey', 'Category:New Jersey law', 'Category:New Jersey wine', 'Category:Use American English from October 2017', 'Category:Use mdy dates from October 2017', 'Category:Webarchive template archiveis links', 'Category:Webarchive template wayback links']
2;American paddlefish;"['Category:Articles containing video clips', ""Category:Articles with 'species' microformats"", 'Category:Commons category link is on Wikidata', 'Category:Featured articles', 'Category:Fish described in 1792', 'Category:Fish of Canada', 'Category:Freshwater fish of the United States', 'Category:IUCN Red List vulnerable species', 'Category:Living fossils', 'Category:Polyodontidae', 'Category:Portal templates with all redlinked portals']"
3;Boletus aereus;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Basque cuisine', 'Category:Boletus', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Greek-language sources (el)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Spanish-language sources (es)', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1789', 'Category:Fungi of Africa', 'Category:Fungi of China', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Pages using multiple image with manual scaled images', 'Category:Use dmy dates from April 2017']"
4;Boletus edulis;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Boletus', 'Category:CS1 Arabic-language sources (ar)', 'Category:CS1 Bulgarian-language sources (bg)', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Polish-language sources (pl)', 'Category:CS1 maint: Uses authors parameter', 'Category:CS1: long volume value', 'Category:Edible fungi', 'Category:Featured articles', 'Category:French cuisine', 'Category:Fungi described in 1782', 'Category:Fungi naturalized in Australia', 'Category:Fungi of Africa', 'Category:Fungi of Asia', 'Category:Fungi of Europe', 'Category:Fungi of Finland', 'Category:Fungi of New Zealand', 'Category:Fungi of North America', 'Category:Fungi of the Middle East', 'Category:Italian cuisine', 'Category:Italian products with protected designation of origin', 'Category:Use British English from October 2015', 'Category:Wikipedia indefinitely move-protected pages']"
5;Borscht;['Category:Armenian soups', 'Category:Articles containing Belarusian-language text', 'Category:Articles containing Chinese-language text', 'Category:Articles containing French-language text', 'Category:Articles containing Italian-language text', 'Category:Articles containing Latin-language text', 'Category:Articles containing Lithuanian-language text', 'Category:Articles containing Middle High German-language text', 'Category:Articles containing Plautdietsch-language text', 'Category:Articles containing Polish-language text', 'Category:Articles containing Romanian-language text', 'Category:Articles containing Russian-language text', 'Category:Articles containing Ukrainian-language text', 'Category:Articles containing Yiddish-language text', 'Category:Articles with hAudio microformats', 'Category:Ashkenazi Jewish cuisine', 'Category:Azerbaijani soups', 'Category:Belarusian cuisine', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 Polish-language sources (pl)', 'Category:CS1 Romanian-language sources (ro)', 'Category:CS1 Russian-language sources (ru)', 'Category:CS1 Ukrainian-language sources (uk)', 'Category:CS1: long volume value', 'Category:Cold soups', 'Category:Culinary dishes', 'Category:Featured articles', 'Category:Latvian cuisine', 'Category:Lithuanian cuisine', 'Category:National dishes', 'Category:National symbols of Ukraine', 'Category:Pages including recorded pronunciations (English)', 'Category:Polish soups', 'Category:Portal templates with redlinked portals', 'Category:Romanian cuisine', 'Category:Russian soups', 'Category:Slavic cuisine', 'Category:Soviet cuisine', 'Category:Ukrainian soups', 'Category:Ukrainian traditions', 'Category:Vegetable dishes']
6;Cabbage;"['Category:All articles containing potentially dated statements', 'Category:Articles containing potentially dated statements from 2012', ""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Brassica oleracea', 'Category:CS1: long volume value', 'Category:Cabbage', 'Category:Commons category link from Wikidata', 'Category:Featured articles', 'Category:Food plant cultivars', 'Category:Leaf vegetables', 'Category:Medicinal plants', 'Category:Taxonbars using multiple manual Wikidata items', 'Category:Taxonbars with 25–29 taxon IDs', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NDL identifiers']"
7;Chalciporus piperatus;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Boletaceae', 'Category:CS1 Czech-language sources (cs)', 'Category:CS1 French-language sources (fr)', 'Category:CS1 German-language sources (de)', 'Category:CS1 Italian-language sources (it)', 'Category:CS1 Spanish-language sources (es)', 'Category:Commons category link from Wikidata', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1790', 'Category:Fungi naturalized in Australia', 'Category:Fungi of Africa', 'Category:Fungi of Asia', 'Category:Fungi of Central America', 'Category:Fungi of Europe', 'Category:Fungi of New Zealand', 'Category:Fungi of South America']"
8;Cortinarius caperatus;"[""Category:Articles with 'species' microformats"", 'Category:CS1 German-language sources (de)', 'Category:CS1 Latin-language sources (la)', 'Category:CS1 Swedish-language sources (sv)', 'Category:CS1 maint: Archived copy as title', 'Category:CS1: long volume value', 'Category:Commons category link is on Wikidata', 'Category:Cortinarius', 'Category:Edible fungi', 'Category:Featured articles', 'Category:Fungi described in 1796', 'Category:Fungi of Asia', 'Category:Fungi of Europe', 'Category:Fungi of North America', 'Category:Taxa named by Christiaan Hendrik Persoon', 'Category:Taxonbars with automatically added basionyms']"
9;Cracker Barrel;['Category:1969 establishments in Tennessee', 'Category:1980s initial public offerings', 'Category:All articles containing potentially dated statements', 'Category:All articles with dead external links', 'Category:Articles containing potentially dated statements from 2002', 'Category:Articles containing potentially dated statements from September 2018', 'Category:Articles with dead external links from August 2017', 'Category:Articles with dead external links from October 2017', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:Commons category link from Wikidata', 'Category:Companies listed on NASDAQ', 'Category:Featured articles', 'Category:Lebanon, Tennessee', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1969', 'Category:Restaurants in Tennessee', 'Category:Retail companies established in 1969', 'Category:Retail companies of the United States', 'Category:Theme restaurants', 'Category:Wikipedia articles with ISNI identifiers']
